# 
#
data1.txt
Categorization
Numerical,Numerical,Label
x,y,Label
7.284288,7.361353,?,(Learn)
7.383151,6.271942,?,(Learn)
2.526411,5.743564,?,(Learn)
5.834545,6.516551,?,(Learn)
5.243786,6.154347,?,(Learn)
5.954101,3.231427,?,(Learn)
2.597728,9.417786,?,(Learn)
3.837317,7.426355,?,(Learn)
8.033092,8.293607,?,(Learn)
8.891194,3.188248,?,(Learn)
2.546351,7.924325,?,(Learn)
7.624471,5.828636,?,(Learn)
5.619951,6.17498,?,(Learn)
5.380714,7.728282,?,(Learn)
3.759276,5.412194,?,(Learn)
6.115014,4.335045,?,(Learn)
5.438447,7.042999,?,(Learn)
7.841635,8.93174,?,(Learn)
7.946617,5.76605,?,(Learn)
5.436935,6.010379,?,(Learn)
8.106534,4.969793,?,(Learn)
4.876365,6.369626,?,(Learn)
7.780392,7.473818,?,(Learn)
6.270742,6.100925,?,(Learn)
7.23125,4.441843,?,(Learn)
3.834868,8.75479,?,(Learn)
7.840126,4.559595,?,(Learn)
5.065508,5.27368,?,(Learn)
3.431037,6.794376,?,(Learn)
6.383131,8.649817,?,(Learn)
6.803852,7.862525,?,(Learn)
6.652911,4.073132,?,(Learn)
1.827813,6.419257,?,(Learn)
8.83882,4.313532,?,(Learn)
8.193265,5.728884,?,(Learn)
6.994987,6.247674,?,(Learn)
6.284956,7.022382,?,(Learn)
4.481269,5.251205,?,(Learn)
6.558386,4.300977,?,(Learn)
4.873855,6.147718,?,(Learn)
3.093033,5.071991,?,(Learn)
7.782871,4.021035,?,(Learn)
5.797761,6.66607,?,(Learn)
6.408948,6.377192,?,(Learn)
8.723354,3.69047,?,(Learn)
8.017418,3.397856,?,(Learn)
6.147545,4.694187,?,(Learn)
7.544278,4.406857,?,(Learn)
6.271107,9.848337,?,(Learn)
7.809006,4.850808,?,(Learn)
2.415763,6.197365,?,(Learn)
2.985574,8.284721,?,(Learn)
6.104966,6.164478,?,(Learn)
7.218801,7.135143,?,(Learn)
5.669952,5.198219,?,(Learn)
3.809896,6.209841,?,(Learn)
8.75258,6.211881,?,(Learn)
7.730234,5.444955,?,(Learn)
4.915441,10.530687,?,(Learn)
7.519408,5.300579,?,(Learn)
4.271998,7.787586,?,(Learn)
7.570765,7.013201,?,(Learn)
2.941226,8.273428,?,(Learn)
4.625502,7.036851,?,(Learn)
5.13602,6.180594,?,(Learn)
4.597597,7.828226,?,(Learn)
5.817469,6.750097,?,(Learn)
6.487607,8.599929,?,(Learn)
4.748349,5.624473,?,(Learn)
6.609868,7.199781,?,(Learn)
7.922452,5.570567,?,(Learn)
3.968518,4.198754,?,(Learn)
4.88137,5.736354,?,(Learn)
5.994872,5.108162,?,(Learn)
7.64876,7.031968,?,(Learn)
8.861139,4.452067,?,(Learn)
5.892461,4.919847,?,(Learn)
5.323158,6.335803,?,(Learn)
6.176535,5.61804,?,(Learn)
8.132421,4.685935,?,(Learn)
6.911812,5.415249,?,(Learn)
5.188036,5.903627,?,(Learn)
4.445965,7.8144,?,(Learn)
3.028649,7.597816,?,(Learn)
3.897132,3.23736,?,(Learn)
2.202766,9.94492,?,(Learn)
6.898966,4.058745,?,(Learn)
5.349345,6.551265,?,(Learn)
4.373871,5.140903,?,(Learn)
7.586707,4.749558,?,(Learn)
6.250433,4.575276,?,(Learn)
5.933872,6.056877,?,(Learn)
4.177652,5.712641,?,(Learn)
3.539567,8.300832,?,(Learn)
6.589146,4.919101,?,(Learn)
6.501155,3.779524,?,(Learn)
7.291663,3.63903,?,(Learn)
3.837973,8.944113,?,(Learn)
2.953992,8.9729,?,(Learn)
9.135342,-5.820299,?,(Learn)
7.580485,-7.192279,?,(Learn)
6.42452,-8.413679,?,(Learn)
6.382569,-5.297024,?,(Learn)
6.375425,-5.88141,?,(Learn)
4.682164,-5.085114,?,(Learn)
8.099307,-4.25071,?,(Learn)
5.285888,-6.714976,?,(Learn)
9.04214,-5.184864,?,(Learn)
6.736739,-4.834332,?,(Learn)
7.660029,-3.325,?,(Learn)
4.456793,-5.520863,?,(Learn)
4.989327,-4.821392,?,(Learn)
3.016102,-5.660782,?,(Learn)
5.649827,-5.494233,?,(Learn)
4.186202,-6.099735,?,(Learn)
8.186064,-6.326131,?,(Learn)
2.28417,-6.333976,?,(Learn)
4.814203,-5.900127,?,(Learn)
6.741211,-4.50613,?,(Learn)
3.458544,-6.679022,?,(Learn)
7.117435,-5.476388,?,(Learn)
3.900895,-6.502373,?,(Learn)
5.451851,-6.858176,?,(Learn)
3.237248,-5.841412,?,(Learn)
8.673737,-5.849874,?,(Learn)
4.897205,-4.905979,?,(Learn)
1.409964,-4.336529,?,(Learn)
4.665347,-7.432622,?,(Learn)
7.663637,-4.78606,?,(Learn)
4.221847,-5.385838,?,(Learn)
3.72661,-6.089627,?,(Learn)
6.066656,-7.23772,?,(Learn)
6.664411,-6.154897,?,(Learn)
4.588012,-4.475945,?,(Learn)
4.080791,-5.850374,?,(Learn)
4.463383,-6.030921,?,(Learn)
7.531475,-7.083957,?,(Learn)
5.036898,-5.980013,?,(Learn)
9.00988,-6.614678,?,(Learn)
4.730168,-7.082522,?,(Learn)
6.425549,-5.897223,?,(Learn)
3.077148,-3.903293,?,(Learn)
5.68426,-3.717855,?,(Learn)
3.635555,-4.778052,?,(Learn)
10.131971,-6.523521,?,(Learn)
4.934099,-6.425032,?,(Learn)
7.093339,-7.325451,?,(Learn)
2.158013,-5.73212,?,(Learn)
5.74215,-3.933643,?,(Learn)
2.441606,-5.42535,?,(Learn)
3.443132,-6.770102,?,(Learn)
6.211964,-6.850849,?,(Learn)
4.740535,-7.831705,?,(Learn)
5.597555,-4.504208,?,(Learn)
6.254549,-8.541552,?,(Learn)
6.054377,-5.332549,?,(Learn)
7.821979,-7.760287,?,(Learn)
8.104016,-7.041849,?,(Learn)
6.806161,-5.506536,?,(Learn)
4.904029,-8.274637,?,(Learn)
5.250287,-5.806407,?,(Learn)
7.882747,-5.849281,?,(Learn)
5.240313,-7.234377,?,(Learn)
3.827114,-5.564318,?,(Learn)
6.076674,-7.519595,?,(Learn)
6.225602,-6.61644,?,(Learn)
4.573792,-4.747133,?,(Learn)
6.690276,-5.618297,?,(Learn)
3.940543,-6.528324,?,(Learn)
6.908914,-6.433774,?,(Learn)
2.385654,-6.944425,?,(Learn)
5.976339,-6.4516,?,(Learn)
7.851335,-7.193039,?,(Learn)
6.136724,-5.778454,?,(Learn)
8.28341,-5.889879,?,(Learn)
6.958462,-7.802594,?,(Learn)
8.327795,-5.033136,?,(Learn)
7.795503,-5.960099,?,(Learn)
4.295953,-6.93296,?,(Learn)
7.213271,-3.848156,?,(Learn)
6.068522,-7.313112,?,(Learn)
8.466211,-7.374013,?,(Learn)
5.801433,-5.740271,?,(Learn)
7.191703,-5.183679,?,(Learn)
6.456471,-4.201156,?,(Learn)
8.37846,-6.277394,?,(Learn)
2.603492,-6.590784,?,(Learn)
4.200307,-5.692098,?,(Learn)
3.126212,-6.043717,?,(Learn)
3.682247,-5.084889,?,(Learn)
4.587472,-6.392941,?,(Learn)
5.207165,-5.894436,?,(Learn)
4.723464,-4.111942,?,(Learn)
8.549549,-4.634214,?,(Learn)
8.977618,-4.464873,?,(Learn)
5.345582,-5.864768,?,(Learn)
7.170776,-3.382814,?,(Learn)
3.426561,-7.887567,?,(Learn)
8.309419,-5.30197,?,(Learn)
-5.824326,-8.025893,?,(Learn)
-6.860884,-5.728636,?,(Learn)
-6.945416,-5.151057,?,(Learn)
-4.642313,-12.70443,?,(Learn)
-5.293627,-2.690244,?,(Learn)
-4.150145,-1.432737,?,(Learn)
-5.429713,-5.125494,?,(Learn)
-4.992898,-5.111742,?,(Learn)
-7.087586,-7.060987,?,(Learn)
-6.280172,-8.50485,?,(Learn)
-5.86759,-4.84325,?,(Learn)
-6.949171,-8.424916,?,(Learn)
-4.188307,-5.201104,?,(Learn)
-6.941302,-6.99531,?,(Learn)
-5.492463,-2.378827,?,(Learn)
-6.708052,-1.680366,?,(Learn)
-7.661234,-4.5434,?,(Learn)
-6.615355,-3.838184,?,(Learn)
-6.162596,-6.172661,?,(Learn)
-5.313889,-5.386731,?,(Learn)
-6.353579,-6.073222,?,(Learn)
-6.261236,-5.20729,?,(Learn)
-5.585022,-11.295869,?,(Learn)
-6.123761,-4.425985,?,(Learn)
-5.955852,-7.250277,?,(Learn)
-7.675165,-4.100396,?,(Learn)
-8.306542,-7.277281,?,(Learn)
-7.208613,-7.174425,?,(Learn)
-3.598365,-6.323166,?,(Learn)
-6.600033,-7.38623,?,(Learn)
-5.295125,-8.55652,?,(Learn)
-5.674455,-4.217515,?,(Learn)
-5.50819,-5.674984,?,(Learn)
-7.347881,-7.516903,?,(Learn)
-5.66622,-2.797817,?,(Learn)
-8.205769,-8.77163,?,(Learn)
-5.22338,-2.81653,?,(Learn)
-5.519963,-6.23074,?,(Learn)
-7.84187,-3.927377,?,(Learn)
-5.376331,-6.711583,?,(Learn)
-5.992323,-9.099104,?,(Learn)
-7.00101,-3.564849,?,(Learn)
-6.081619,-5.200404,?,(Learn)
-5.514739,-7.973259,?,(Learn)
-6.724361,-7.24088,?,(Learn)
-5.381268,-5.7202,?,(Learn)
-4.254416,-4.702865,?,(Learn)
-6.826591,-3.494963,?,(Learn)
-3.303133,-4.745106,?,(Learn)
-4.233714,-5.40257,?,(Learn)
-6.113288,-5.797733,?,(Learn)
-7.562898,-3.023163,?,(Learn)
-7.614864,-8.211896,?,(Learn)
-5.183104,-8.967291,?,(Learn)
-8.945425,-6.1444,?,(Learn)
-7.372236,-8.491066,?,(Learn)
-3.764774,-11.952285,?,(Learn)
-7.683159,-6.644484,?,(Learn)
-6.327155,-6.172921,?,(Learn)
-4.432096,-4.353087,?,(Learn)
-5.111588,-6.313348,?,(Learn)
-6.253923,-5.503759,?,(Learn)
-5.969679,-9.672876,?,(Learn)
-5.677786,-3.940808,?,(Learn)
-5.024069,-5.201254,?,(Learn)
-5.816576,-8.975182,?,(Learn)
-8.429186,-9.70574,?,(Learn)
-5.282848,-3.619968,?,(Learn)
-4.864003,-7.441166,?,(Learn)
-6.040531,-7.373271,?,(Learn)
-4.588739,-5.565238,?,(Learn)
-5.691466,-5.6371,?,(Learn)
-6.270083,-3.299562,?,(Learn)
-7.208795,-5.522654,?,(Learn)
-4.797749,-3.059442,?,(Learn)
-5.124387,-7.394617,?,(Learn)
-5.517024,-1.45675,?,(Learn)
-7.062872,-8.050511,?,(Learn)
-6.111757,-4.79227,?,(Learn)
-4.489727,-10.324873,?,(Learn)
-5.243178,-6.557526,?,(Learn)
-6.163328,-5.546413,?,(Learn)
-4.457756,-3.17284,?,(Learn)
-5.377353,-4.029288,?,(Learn)
-7.110768,-7.013418,?,(Learn)
-6.02162,-5.165054,?,(Learn)
-4.045901,-4.053993,?,(Learn)
-6.908585,-6.032593,?,(Learn)
-5.945033,-11.072141,?,(Learn)
-6.391893,-4.244621,?,(Learn)
-6.622228,-6.931164,?,(Learn)
-4.969597,-3.907686,?,(Learn)
-4.557803,-3.484483,?,(Learn)
-6.660562,-5.568894,?,(Learn)
-5.63958,-9.744938,?,(Learn)
-5.966442,-9.127474,?,(Learn)
-5.613604,-6.625563,?,(Learn)
-3.550242,-7.748753,?,(Learn)
-6.191123,-1.5968,?,(Learn)
-4.683861,-5.279232,?,(Learn)
-0.870703,-0.152942,?,(Learn)
1.124737,2.001657,?,(Learn)
-1.107021,1.573257,?,(Learn)
0.021391,-0.924475,?,(Learn)
1.126154,0.992243,?,(Learn)
-0.587247,0.5948,?,(Learn)
2.539263,1.72707,?,(Learn)
1.363557,2.523671,?,(Learn)
-2.022637,0.935701,?,(Learn)
-1.290567,-0.752507,?,(Learn)
-0.426916,-0.134761,?,(Learn)
3.076032,2.431224,?,(Learn)
-2.029408,-2.374089,?,(Learn)
0.022863,-1.936191,?,(Learn)
-1.155077,0.578669,?,(Learn)
-1.666023,2.414769,?,(Learn)
0.253595,-0.056493,?,(Learn)
-1.209857,2.868582,?,(Learn)
-0.821132,0.402516,?,(Learn)
-1.28713,-1.190263,?,(Learn)
2.069127,1.897295,?,(Learn)
0.139969,-0.728564,?,(Learn)
-0.609562,-0.78414,?,(Learn)
1.097774,-1.035867,?,(Learn)
-0.760937,-1.336635,?,(Learn)
-0.563265,-0.538075,?,(Learn)
0.136225,0.850784,?,(Learn)
0.858149,-2.240126,?,(Learn)
0.718369,1.140052,?,(Learn)
0.468421,2.490983,?,(Learn)
-1.324273,0.385411,?,(Learn)
1.109819,1.094268,?,(Learn)
-1.742776,-0.985744,?,(Learn)
1.07931,-0.896387,?,(Learn)
-0.079105,-0.648666,?,(Learn)
-0.663033,-1.90606,?,(Learn)
-1.392039,1.32251,?,(Learn)
-0.473684,-1.531718,?,(Learn)
2.043307,0.414525,?,(Learn)
-0.452659,1.058639,?,(Learn)
0.393976,0.773482,?,(Learn)
1.114646,-0.194911,?,(Learn)
-1.459108,0.560498,?,(Learn)
-1.51097,1.262938,?,(Learn)
-2.214936,-1.719966,?,(Learn)
-0.489666,-0.979911,?,(Learn)
-1.620198,0.200276,?,(Learn)
-0.072741,0.949444,?,(Learn)
-0.734131,-0.496914,?,(Learn)
1.235188,0.052529,?,(Learn)
-1.158545,2.275049,?,(Learn)
-0.441193,0.242024,?,(Learn)
0.604981,1.964214,?,(Learn)
2.68817,-1.430901,?,(Learn)
2.731917,0.960894,?,(Learn)
0.450363,0.410178,?,(Learn)
-0.213364,-0.264077,?,(Learn)
1.77098,3.982942,?,(Learn)
0.010732,1.846225,?,(Learn)
1.904309,1.768222,?,(Learn)
-0.438853,-1.275998,?,(Learn)
0.448506,-1.645669,?,(Learn)
-0.663837,0.093582,?,(Learn)
-0.583476,-1.432346,?,(Learn)
1.163516,-0.84748,?,(Learn)
0.918085,-1.520848,?,(Learn)
0.928895,0.118835,?,(Learn)
1.312776,3.480961,?,(Learn)
-0.267361,0.250337,?,(Learn)
0.873707,0.071256,?,(Learn)
1.494873,-0.181531,?,(Learn)
-3.109194,0.71433,?,(Learn)
-0.680114,0.398621,?,(Learn)
1.490297,1.850971,?,(Learn)
0.9143,0.428343,?,(Learn)
-1.235896,-1.233448,?,(Learn)
4.007898,2.229572,?,(Learn)
-2.574488,0.018587,?,(Learn)
-1.052339,-1.236876,?,(Learn)
-0.753175,1.138736,?,(Learn)
0.243366,-1.683603,?,(Learn)
-0.347166,0.667179,?,(Learn)
2.19337,-1.341162,?,(Learn)
1.761995,-1.897101,?,(Learn)
-1.138619,0.123605,?,(Learn)
-0.098214,-0.034073,?,(Learn)
0.357976,0.436848,?,(Learn)
-1.382759,-2.425317,?,(Learn)
-1.30644,2.217947,?,(Learn)
1.396171,0.645699,?,(Learn)
-0.501279,2.455915,?,(Learn)
0.999389,-0.115819,?,(Learn)
0.781979,1.420879,?,(Learn)
-0.070601,0.849448,?,(Learn)
-2.53661,1.001406,?,(Learn)
-1.446325,-0.422072,?,(Learn)
0.261599,0.479059,?,(Learn)
-2.243814,-0.673345,?,(Learn)
-0.489892,0.282347,?,(Learn)
0.310185,0.024044,?,(Learn)
-4.840798,5.117552,?,(Learn)
-2.458894,5.701029,?,(Learn)
-5.195775,6.207984,?,(Learn)
-6.059512,4.324269,?,(Learn)
-5.864124,8.061702,?,(Learn)
-5.862612,3.905275,?,(Learn)
-8.401542,6.751402,?,(Learn)
-4.566879,6.882557,?,(Learn)
-10.690458,3.963868,?,(Learn)
-5.930223,8.631377,?,(Learn)
-8.835472,2.525107,?,(Learn)
-1.046683,5.128663,?,(Learn)
-3.070018,6.265891,?,(Learn)
-5.645132,7.001085,?,(Learn)
-7.700482,5.0028,?,(Learn)
-6.508689,6.146581,?,(Learn)
-5.568405,5.630942,?,(Learn)
-7.615612,4.162013,?,(Learn)
-7.174587,6.702648,?,(Learn)
-6.305689,5.841667,?,(Learn)
-6.289057,7.080807,?,(Learn)
-10.60605,5.485308,?,(Learn)
-5.781631,7.901122,?,(Learn)
-7.064834,8.940676,?,(Learn)
-5.913687,6.036723,?,(Learn)
-7.374961,7.886399,?,(Learn)
-7.826264,6.393444,?,(Learn)
-4.889672,6.199693,?,(Learn)
-5.993513,6.189824,?,(Learn)
-8.764736,5.561491,?,(Learn)
-8.844429,6.811591,?,(Learn)
-7.209428,2.802124,?,(Learn)
-6.329316,7.584156,?,(Learn)
-4.924823,7.756102,?,(Learn)
-4.745432,6.579274,?,(Learn)
-7.413062,5.223064,?,(Learn)
-8.036262,3.771492,?,(Learn)
-2.847646,7.34683,?,(Learn)
-6.08814,6.106813,?,(Learn)
-7.611444,5.901974,?,(Learn)
-1.915475,9.110851,?,(Learn)
-6.643973,7.367286,?,(Learn)
-5.641984,5.370162,?,(Learn)
-6.589883,5.845243,?,(Learn)
-4.82184,7.034228,?,(Learn)
-6.498069,4.552498,?,(Learn)
-6.920002,6.121794,?,(Learn)
-6.456145,4.394543,?,(Learn)
-3.948931,5.022739,?,(Learn)
-6.556389,6.155686,?,(Learn)
-4.93577,6.642016,?,(Learn)
-6.648917,6.998107,?,(Learn)
-4.346834,7.716009,?,(Learn)
-4.273678,7.786713,?,(Learn)
-3.6894,5.946048,?,(Learn)
-5.041924,6.970618,?,(Learn)
-4.365832,7.113495,?,(Learn)
-5.170772,7.312472,?,(Learn)
-6.194645,4.724205,?,(Learn)
-5.284321,6.240777,?,(Learn)
-3.628628,6.111048,?,(Learn)
-5.005267,7.523227,?,(Learn)
-3.792014,3.852673,?,(Learn)
-7.521644,6.134595,?,(Learn)
-10.524327,5.506671,?,(Learn)
-8.621562,6.481537,?,(Learn)
-5.130006,8.436323,?,(Learn)
-4.82757,4.196307,?,(Learn)
-5.762496,5.325732,?,(Learn)
-9.524156,6.518332,?,(Learn)
-5.317222,4.529547,?,(Learn)
-6.305811,5.943033,?,(Learn)
-5.242257,4.999039,?,(Learn)
-6.943955,6.619823,?,(Learn)
-8.239104,5.996677,?,(Learn)
-6.505361,4.799182,?,(Learn)
-3.371207,7.837998,?,(Learn)
-2.933135,7.522777,?,(Learn)
-4.41444,7.719396,?,(Learn)
-8.554463,6.16855,?,(Learn)
-4.886503,7.861373,?,(Learn)
-7.328928,3.810844,?,(Learn)
-9.240968,4.209445,?,(Learn)
-5.721573,7.426404,?,(Learn)
-1.528611,8.713321,?,(Learn)
-8.299244,5.864562,?,(Learn)
-3.592762,5.434255,?,(Learn)
-5.477468,7.021435,?,(Learn)
-4.399827,8.016311,?,(Learn)
-8.93388,4.336528,?,(Learn)
-0.726235,3.06856,?,(Learn)
-9.041456,4.081439,?,(Learn)
-8.263078,3.065583,?,(Learn)
-7.94065,7.466516,?,(Learn)
-3.92263,3.993361,?,(Learn)
-6.433743,8.152359,?,(Learn)
-4.894597,6.402834,?,(Learn)
-4.495234,8.782632,?,(Learn)
-5.158309,5.859455,?,(Learn)
-5.440483,7.614409,?,(Learn)
5.467851,7.143192,?,(Learn)
4.666658,2.81183,?,(Learn)
5.458474,5.93194,?,(Learn)
6.32971,6.793166,?,(Learn)
5.984418,6.900887,?,(Learn)
4.366619,7.689029,?,(Learn)
5.91022,4.708251,?,(Learn)
7.476242,4.187562,?,(Learn)
5.931016,6.119463,?,(Learn)
6.028833,4.66531,?,(Learn)
5.725902,5.15089,?,(Learn)
3.840921,10.917394,?,(Learn)
4.29302,7.669333,?,(Learn)
7.322125,6.253992,?,(Learn)
6.982576,6.919256,?,(Learn)
6.365339,4.557933,?,(Learn)
7.35267,6.68949,?,(Learn)
4.778559,4.767112,?,(Learn)
6.141413,7.240156,?,(Learn)
4.705081,5.892887,?,(Learn)
3.597965,8.190277,?,(Learn)
5.884949,8.0811,?,(Learn)
5.372563,6.568365,?,(Learn)
5.995079,7.752702,?,(Learn)
5.572205,4.853356,?,(Learn)
7.429625,5.548144,?,(Learn)
4.493994,7.738391,?,(Learn)
3.468621,6.82521,?,(Learn)
10.030478,2.512296,?,(Learn)
6.578356,5.744193,?,(Learn)
6.061436,6.696309,?,(Learn)
7.511655,6.488142,?,(Learn)
5.681376,5.20733,?,(Learn)
4.823325,4.900049,?,(Learn)
4.798447,7.76719,?,(Learn)
5.281914,5.785087,?,(Learn)
3.749562,10.051823,?,(Learn)
5.005001,7.341569,?,(Learn)
6.184709,5.422808,?,(Learn)
7.616177,5.833118,?,(Learn)
6.153436,5.049934,?,(Learn)
5.37534,7.517646,?,(Learn)
6.106676,3.383455,?,(Learn)
6.485337,7.119992,?,(Learn)
6.615527,3.094623,?,(Learn)
7.414763,4.761887,?,(Learn)
5.69675,3.788181,?,(Learn)
4.678333,10.013311,?,(Learn)
7.25006,5.550708,?,(Learn)
6.856077,5.156577,?,(Learn)
5.350258,9.34614,?,(Learn)
9.636453,2.997326,?,(Learn)
7.341463,5.391788,?,(Learn)
7.943782,9.190289,?,(Learn)
5.571074,4.427434,?,(Learn)
7.13735,4.357754,?,(Learn)
6.038389,9.346391,?,(Learn)
5.883193,7.170267,?,(Learn)
6.631604,7.98242,?,(Learn)
2.377666,8.619884,?,(Learn)
4.400022,6.903109,?,(Learn)
6.606767,3.378899,?,(Learn)
4.849279,9.116631,?,(Learn)
5.852594,6.214938,?,(Learn)
5.891898,4.653923,?,(Learn)
6.056473,4.784214,?,(Learn)
8.153947,0.812974,?,(Learn)
6.158615,4.333785,?,(Learn)
5.227142,7.443736,?,(Learn)
4.733594,7.707097,?,(Learn)
6.884244,9.590862,?,(Learn)
8.711089,3.383406,?,(Learn)
6.026069,2.67294,?,(Learn)
5.666342,6.779228,?,(Learn)
7.742337,4.249972,?,(Learn)
4.079824,3.203589,?,(Learn)
6.398855,8.262636,?,(Learn)
4.826269,7.216107,?,(Learn)
8.66764,7.098301,?,(Learn)
6.667253,4.517971,?,(Learn)
7.324664,2.849501,?,(Learn)
6.497798,3.437566,?,(Learn)
3.510906,9.603717,?,(Learn)
4.548247,7.121997,?,(Learn)
4.841164,3.301556,?,(Learn)
5.85349,6.523036,?,(Learn)
2.727826,5.933097,?,(Learn)
3.880693,8.347186,?,(Learn)
5.698732,5.022646,?,(Learn)
3.778738,11.644196,?,(Learn)
8.389571,7.821603,?,(Learn)
4.966554,5.172007,?,(Learn)
5.324455,8.381972,?,(Learn)
6.223955,3.920863,?,(Learn)
3.197844,11.005298,?,(Learn)
7.052794,5.233477,?,(Learn)
6.66396,2.217933,?,(Learn)
6.461045,6.290381,?,(Learn)
5.020072,10.764075,?,(Learn)
6.260319,6.020469,?,(Learn)
9.548057,-4.604198,?,(Learn)
5.644163,-4.883978,?,(Learn)
3.098948,-6.665002,?,(Learn)
4.72045,-6.75045,?,(Learn)
5.280754,-7.63408,?,(Learn)
6.551214,-7.359955,?,(Learn)
5.214184,-7.010035,?,(Learn)
4.501319,-5.570802,?,(Learn)
6.266114,-6.498446,?,(Learn)
7.40932,-7.235339,?,(Learn)
5.393035,-6.108852,?,(Learn)
9.272581,-5.927981,?,(Learn)
7.573969,-7.551992,?,(Learn)
6.288452,-6.513595,?,(Learn)
5.882567,-5.95165,?,(Learn)
2.488989,-7.68489,?,(Learn)
6.320347,-6.405775,?,(Learn)
7.403174,-7.111169,?,(Learn)
2.373723,-7.207676,?,(Learn)
2.509304,-7.925014,?,(Learn)
4.042747,-6.572782,?,(Learn)
4.31514,-7.031588,?,(Learn)
6.516422,-6.873353,?,(Learn)
7.966836,-6.863299,?,(Learn)
4.332953,-6.297755,?,(Learn)
6.661669,-4.198669,?,(Learn)
3.623698,-4.445392,?,(Learn)
6.632038,-4.601775,?,(Learn)
4.331969,-5.868233,?,(Learn)
8.012795,-4.726077,?,(Learn)
8.336289,-7.456235,?,(Learn)
3.905801,-7.340446,?,(Learn)
5.107693,-6.597792,?,(Learn)
3.546698,-5.206492,?,(Learn)
9.089664,-8.258469,?,(Learn)
10.202383,-5.045911,?,(Learn)
7.141824,-6.112921,?,(Learn)
9.154576,-6.770368,?,(Learn)
