# 
#
data4d_2.txt
Classification
Numerical,Numerical,Numerical,Numerical,Label,Target,Target,Target,Target,Target
Col.1,Col.2,Col.3,Col.4,Col.5,Target 1.0,Target 4.0,Target 2.0,Target 5.0,Target 3.0
-5.574565,11.128433,-5.626943,4.919588,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-6.88747,7.796447,-7.827164,7.223059,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-9.518745,3.203921,-5.393186,5.267523,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-4.490514,4.011763,-4.823802,7.520694,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.190036,6.705134,-2.399843,8.984231,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.755383,7.172078,-5.818548,7.356065,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-3.502976,6.942877,-7.130783,4.03421,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-4.306748,6.249439,-7.349321,4.544704,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-10.011338,3.986633,-8.265909,4.298196,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-4.767163,7.536841,-3.94031,8.777248,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
3.043789,6.633307,7.284288,7.361353,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
7.383151,6.271942,2.526411,5.743564,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
5.834545,6.516551,5.243786,6.154347,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
5.954101,3.231427,2.597728,9.417786,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
3.837317,7.426355,8.033092,8.293607,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
8.891194,3.188248,2.546351,7.924325,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
7.624471,5.828636,5.619951,6.17498,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
5.380714,7.728282,3.759276,5.412194,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
6.115014,4.335045,5.438447,7.042999,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
7.841635,8.93174,7.946617,5.76605,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
5.436935,6.010379,8.106534,4.969793,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
4.876365,6.369626,7.780392,7.473818,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
6.270742,6.100925,7.23125,4.441843,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
3.834868,8.75479,7.840126,4.559595,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
5.065508,5.27368,3.431037,6.794376,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
6.383131,8.649817,6.803852,7.862525,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
6.652911,4.073132,1.827813,6.419257,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
8.83882,4.313532,8.193265,5.728884,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
6.994987,6.247674,6.284956,7.022382,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
4.481269,5.251205,6.558386,4.300977,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
4.873855,6.147718,3.093033,5.071991,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
7.782871,4.021035,5.797761,6.66607,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
6.408948,6.377192,8.723354,3.69047,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
8.017418,3.397856,6.147545,4.694187,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
7.544278,4.406857,6.271107,9.848337,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
7.809006,4.850808,2.415763,6.197365,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
2.985574,8.284721,6.104966,6.164478,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
7.218801,7.135143,5.669952,5.198219,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
3.809896,6.209841,8.75258,6.211881,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
7.730234,5.444955,4.915441,10.530687,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
7.519408,5.300579,4.271998,7.787586,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
7.570765,7.013201,2.941226,8.273428,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
4.625502,7.036851,5.13602,6.180594,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
4.597597,7.828226,5.817469,6.750097,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
6.487607,8.599929,4.748349,5.624473,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
6.609868,7.199781,7.922452,5.570567,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
3.968518,4.198754,4.88137,5.736354,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
5.994872,5.108162,7.64876,7.031968,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
8.861139,4.452067,5.892461,4.919847,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
5.323158,6.335803,6.176535,5.61804,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
8.132421,4.685935,6.911812,5.415249,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
5.188036,5.903627,4.445965,7.8144,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
3.028649,7.597816,3.897132,3.23736,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
2.202766,9.94492,6.898966,4.058745,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
5.349345,6.551265,4.373871,5.140903,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
7.586707,4.749558,6.250433,4.575276,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
5.933872,6.056877,4.177652,5.712641,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
3.539567,8.300832,6.589146,4.919101,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
6.501155,3.779524,7.291663,3.63903,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
3.837973,8.944113,2.953992,8.9729,4.0,0.0,1.0,0.0,0.0,0.0,(Learn)
9.135342,-5.820299,7.580485,-7.192279,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
6.42452,-8.413679,6.382569,-5.297024,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
6.375425,-5.88141,4.682164,-5.085114,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
8.099307,-4.25071,5.285888,-6.714976,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
9.04214,-5.184864,6.736739,-4.834332,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
7.660029,-3.325,4.456793,-5.520863,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
4.989327,-4.821392,3.016102,-5.660782,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
5.649827,-5.494233,4.186202,-6.099735,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
8.186064,-6.326131,2.28417,-6.333976,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
4.814203,-5.900127,6.741211,-4.50613,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
3.458544,-6.679022,7.117435,-5.476388,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
3.900895,-6.502373,5.451851,-6.858176,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
3.237248,-5.841412,8.673737,-5.849874,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
4.897205,-4.905979,1.409964,-4.336529,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
4.665347,-7.432622,7.663637,-4.78606,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
4.221847,-5.385838,3.72661,-6.089627,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
6.066656,-7.23772,6.664411,-6.154897,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
4.588012,-4.475945,4.080791,-5.850374,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
4.463383,-6.030921,7.531475,-7.083957,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
5.036898,-5.980013,9.00988,-6.614678,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
4.730168,-7.082522,6.425549,-5.897223,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
3.077148,-3.903293,5.68426,-3.717855,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
3.635555,-4.778052,10.131971,-6.523521,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
4.934099,-6.425032,7.093339,-7.325451,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
2.158013,-5.73212,5.74215,-3.933643,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
2.441606,-5.42535,3.443132,-6.770102,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
6.211964,-6.850849,4.740535,-7.831705,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
5.597555,-4.504208,6.254549,-8.541552,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
6.054377,-5.332549,7.821979,-7.760287,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
8.104016,-7.041849,6.806161,-5.506536,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
4.904029,-8.274637,5.250287,-5.806407,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
7.882747,-5.849281,5.240313,-7.234377,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
3.827114,-5.564318,6.076674,-7.519595,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
6.225602,-6.61644,4.573792,-4.747133,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
6.690276,-5.618297,3.940543,-6.528324,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
6.908914,-6.433774,2.385654,-6.944425,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
5.976339,-6.4516,7.851335,-7.193039,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
6.136724,-5.778454,8.28341,-5.889879,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
6.958462,-7.802594,8.327795,-5.033136,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
7.795503,-5.960099,4.295953,-6.93296,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
7.213271,-3.848156,6.068522,-7.313112,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
8.466211,-7.374013,5.801433,-5.740271,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
7.191703,-5.183679,6.456471,-4.201156,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
8.37846,-6.277394,2.603492,-6.590784,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
4.200307,-5.692098,3.126212,-6.043717,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
3.682247,-5.084889,4.587472,-6.392941,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
5.207165,-5.894436,4.723464,-4.111942,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
8.549549,-4.634214,8.977618,-4.464873,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
5.345582,-5.864768,7.170776,-3.382814,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
3.426561,-7.887567,8.309419,-5.30197,2.0,0.0,0.0,1.0,0.0,0.0,(Learn)
-5.824326,-8.025893,-6.860884,-5.728636,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-6.945416,-5.151057,-4.642313,-12.70443,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.293627,-2.690244,-4.150145,-1.432737,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.429713,-5.125494,-4.992898,-5.111742,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-7.087586,-7.060987,-6.280172,-8.50485,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.86759,-4.84325,-6.949171,-8.424916,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-4.188307,-5.201104,-6.941302,-6.99531,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.492463,-2.378827,-6.708052,-1.680366,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-7.661234,-4.5434,-6.615355,-3.838184,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-6.162596,-6.172661,-5.313889,-5.386731,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-6.353579,-6.073222,-6.261236,-5.20729,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.585022,-11.295869,-6.123761,-4.425985,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.955852,-7.250277,-7.675165,-4.100396,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-8.306542,-7.277281,-7.208613,-7.174425,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-3.598365,-6.323166,-6.600033,-7.38623,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.295125,-8.55652,-5.674455,-4.217515,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.50819,-5.674984,-7.347881,-7.516903,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.66622,-2.797817,-8.205769,-8.77163,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.22338,-2.81653,-5.519963,-6.23074,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-7.84187,-3.927377,-5.376331,-6.711583,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.992323,-9.099104,-7.00101,-3.564849,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-6.081619,-5.200404,-5.514739,-7.973259,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-6.724361,-7.24088,-5.381268,-5.7202,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-4.254416,-4.702865,-6.826591,-3.494963,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-3.303133,-4.745106,-4.233714,-5.40257,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-6.113288,-5.797733,-7.562898,-3.023163,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-7.614864,-8.211896,-5.183104,-8.967291,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-8.945425,-6.1444,-7.372236,-8.491066,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-3.764774,-11.952285,-7.683159,-6.644484,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-6.327155,-6.172921,-4.432096,-4.353087,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.111588,-6.313348,-6.253923,-5.503759,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.969679,-9.672876,-5.677786,-3.940808,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.024069,-5.201254,-5.816576,-8.975182,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-8.429186,-9.70574,-5.282848,-3.619968,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-4.864003,-7.441166,-6.040531,-7.373271,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-4.588739,-5.565238,-5.691466,-5.6371,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-6.270083,-3.299562,-7.208795,-5.522654,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-4.797749,-3.059442,-5.124387,-7.394617,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.517024,-1.45675,-7.062872,-8.050511,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-6.111757,-4.79227,-4.489727,-10.324873,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.243178,-6.557526,-6.163328,-5.546413,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-4.457756,-3.17284,-5.377353,-4.029288,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-7.110768,-7.013418,-6.02162,-5.165054,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-4.045901,-4.053993,-6.908585,-6.032593,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.945033,-11.072141,-6.391893,-4.244621,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-6.622228,-6.931164,-4.969597,-3.907686,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-4.557803,-3.484483,-6.660562,-5.568894,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.63958,-9.744938,-5.966442,-9.127474,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-5.613604,-6.625563,-3.550242,-7.748753,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-6.191123,-1.5968,-4.683861,-5.279232,5.0,0.0,0.0,0.0,1.0,0.0,(Learn)
-0.870703,-0.152942,1.124737,2.001657,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-1.107021,1.573257,0.021391,-0.924475,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
1.126154,0.992243,-0.587247,0.5948,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
2.539263,1.72707,1.363557,2.523671,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-2.022637,0.935701,-1.290567,-0.752507,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.426916,-0.134761,3.076032,2.431224,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-2.029408,-2.374089,0.022863,-1.936191,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-1.155077,0.578669,-1.666023,2.414769,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.253595,-0.056493,-1.209857,2.868582,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.821132,0.402516,-1.28713,-1.190263,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
2.069127,1.897295,0.139969,-0.728564,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.609562,-0.78414,1.097774,-1.035867,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.760937,-1.336635,-0.563265,-0.538075,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.136225,0.850784,0.858149,-2.240126,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.718369,1.140052,0.468421,2.490983,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-1.324273,0.385411,1.109819,1.094268,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-1.742776,-0.985744,1.07931,-0.896387,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.079105,-0.648666,-0.663033,-1.90606,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-1.392039,1.32251,-0.473684,-1.531718,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
2.043307,0.414525,-0.452659,1.058639,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.393976,0.773482,1.114646,-0.194911,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-1.459108,0.560498,-1.51097,1.262938,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-2.214936,-1.719966,-0.489666,-0.979911,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-1.620198,0.200276,-0.072741,0.949444,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.734131,-0.496914,1.235188,0.052529,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-1.158545,2.275049,-0.441193,0.242024,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.604981,1.964214,2.68817,-1.430901,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
2.731917,0.960894,0.450363,0.410178,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.213364,-0.264077,1.77098,3.982942,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.010732,1.846225,1.904309,1.768222,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.438853,-1.275998,0.448506,-1.645669,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.663837,0.093582,-0.583476,-1.432346,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
1.163516,-0.84748,0.918085,-1.520848,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.928895,0.118835,1.312776,3.480961,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.267361,0.250337,0.873707,0.071256,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
1.494873,-0.181531,-3.109194,0.71433,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.680114,0.398621,1.490297,1.850971,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.9143,0.428343,-1.235896,-1.233448,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
4.007898,2.229572,-2.574488,0.018587,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-1.052339,-1.236876,-0.753175,1.138736,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.243366,-1.683603,-0.347166,0.667179,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
2.19337,-1.341162,1.761995,-1.897101,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-1.138619,0.123605,-0.098214,-0.034073,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.357976,0.436848,-1.382759,-2.425317,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-1.30644,2.217947,1.396171,0.645699,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.501279,2.455915,0.999389,-0.115819,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.781979,1.420879,-0.070601,0.849448,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-2.53661,1.001406,-1.446325,-0.422072,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
0.261599,0.479059,-2.243814,-0.673345,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-0.489892,0.282347,0.310185,0.024044,3.0,0.0,0.0,0.0,0.0,1.0,(Learn)
-4.840798,5.117552,-2.458894,5.701029,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.195775,6.207984,-6.059512,4.324269,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.864124,8.061702,-5.862612,3.905275,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-8.401542,6.751402,-4.566879,6.882557,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-10.690458,3.963868,-5.930223,8.631377,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-8.835472,2.525107,-1.046683,5.128663,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-3.070018,6.265891,-5.645132,7.001085,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.700482,5.0028,-6.508689,6.146581,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.568405,5.630942,-7.615612,4.162013,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.174587,6.702648,-6.305689,5.841667,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-6.289057,7.080807,-10.60605,5.485308,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.781631,7.901122,-7.064834,8.940676,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.913687,6.036723,-7.374961,7.886399,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.826264,6.393444,-4.889672,6.199693,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
