# sdfds
#
data4d.txt
Categorization
Numerical,Numerical,Numerical,Numerical,Label
Col.1,Col.2,Col.3,Col.4,Label
3.043789,6.633307,7.284288,7.361353,?,(Learn)
7.383151,6.271942,2.526411,5.743564,?,(Learn)
5.834545,6.516551,5.243786,6.154347,?,(Learn)
5.954101,3.231427,2.597728,9.417786,?,(Learn)
3.837317,7.426355,8.033092,8.293607,?,(Learn)
8.891194,3.188248,2.546351,7.924325,?,(Learn)
7.624471,5.828636,5.619951,6.17498,?,(Learn)
5.380714,7.728282,3.759276,5.412194,?,(Learn)
6.115014,4.335045,5.438447,7.042999,?,(Learn)
7.841635,8.93174,7.946617,5.76605,?,(Learn)
5.436935,6.010379,8.106534,4.969793,?,(Learn)
4.876365,6.369626,7.780392,7.473818,?,(Learn)
6.270742,6.100925,7.23125,4.441843,?,(Learn)
3.834868,8.75479,7.840126,4.559595,?,(Learn)
5.065508,5.27368,3.431037,6.794376,?,(Learn)
6.383131,8.649817,6.803852,7.862525,?,(Learn)
6.652911,4.073132,1.827813,6.419257,?,(Learn)
8.83882,4.313532,8.193265,5.728884,?,(Learn)
6.994987,6.247674,6.284956,7.022382,?,(Learn)
4.481269,5.251205,6.558386,4.300977,?,(Learn)
4.873855,6.147718,3.093033,5.071991,?,(Learn)
7.782871,4.021035,5.797761,6.66607,?,(Learn)
6.408948,6.377192,8.723354,3.69047,?,(Learn)
8.017418,3.397856,6.147545,4.694187,?,(Learn)
7.544278,4.406857,6.271107,9.848337,?,(Learn)
7.809006,4.850808,2.415763,6.197365,?,(Learn)
2.985574,8.284721,6.104966,6.164478,?,(Learn)
7.218801,7.135143,5.669952,5.198219,?,(Learn)
3.809896,6.209841,8.75258,6.211881,?,(Learn)
7.730234,5.444955,4.915441,10.530687,?,(Learn)
7.519408,5.300579,4.271998,7.787586,?,(Learn)
7.570765,7.013201,2.941226,8.273428,?,(Learn)
4.625502,7.036851,5.13602,6.180594,?,(Learn)
4.597597,7.828226,5.817469,6.750097,?,(Learn)
6.487607,8.599929,4.748349,5.624473,?,(Learn)
6.609868,7.199781,7.922452,5.570567,?,(Learn)
3.968518,4.198754,4.88137,5.736354,?,(Learn)
5.994872,5.108162,7.64876,7.031968,?,(Learn)
8.861139,4.452067,5.892461,4.919847,?,(Learn)
5.323158,6.335803,6.176535,5.61804,?,(Learn)
8.132421,4.685935,6.911812,5.415249,?,(Learn)
5.188036,5.903627,4.445965,7.8144,?,(Learn)
3.028649,7.597816,3.897132,3.23736,?,(Learn)
2.202766,9.94492,6.898966,4.058745,?,(Learn)
5.349345,6.551265,4.373871,5.140903,?,(Learn)
7.586707,4.749558,6.250433,4.575276,?,(Learn)
5.933872,6.056877,4.177652,5.712641,?,(Learn)
3.539567,8.300832,6.589146,4.919101,?,(Learn)
6.501155,3.779524,7.291663,3.63903,?,(Learn)
3.837973,8.944113,2.953992,8.9729,?,(Learn)
9.135342,-5.820299,7.580485,-7.192279,?,(Learn)
6.42452,-8.413679,6.382569,-5.297024,?,(Learn)
6.375425,-5.88141,4.682164,-5.085114,?,(Learn)
8.099307,-4.25071,5.285888,-6.714976,?,(Learn)
9.04214,-5.184864,6.736739,-4.834332,?,(Learn)
7.660029,-3.325,4.456793,-5.520863,?,(Learn)
4.989327,-4.821392,3.016102,-5.660782,?,(Learn)
5.649827,-5.494233,4.186202,-6.099735,?,(Learn)
8.186064,-6.326131,2.28417,-6.333976,?,(Learn)
4.814203,-5.900127,6.741211,-4.50613,?,(Learn)
3.458544,-6.679022,7.117435,-5.476388,?,(Learn)
3.900895,-6.502373,5.451851,-6.858176,?,(Learn)
3.237248,-5.841412,8.673737,-5.849874,?,(Learn)
4.897205,-4.905979,1.409964,-4.336529,?,(Learn)
4.665347,-7.432622,7.663637,-4.78606,?,(Learn)
4.221847,-5.385838,3.72661,-6.089627,?,(Learn)
6.066656,-7.23772,6.664411,-6.154897,?,(Learn)
4.588012,-4.475945,4.080791,-5.850374,?,(Learn)
4.463383,-6.030921,7.531475,-7.083957,?,(Learn)
5.036898,-5.980013,9.00988,-6.614678,?,(Learn)
4.730168,-7.082522,6.425549,-5.897223,?,(Learn)
3.077148,-3.903293,5.68426,-3.717855,?,(Learn)
3.635555,-4.778052,10.131971,-6.523521,?,(Learn)
4.934099,-6.425032,7.093339,-7.325451,?,(Learn)
2.158013,-5.73212,5.74215,-3.933643,?,(Learn)
2.441606,-5.42535,3.443132,-6.770102,?,(Learn)
6.211964,-6.850849,4.740535,-7.831705,?,(Learn)
5.597555,-4.504208,6.254549,-8.541552,?,(Learn)
6.054377,-5.332549,7.821979,-7.760287,?,(Learn)
8.104016,-7.041849,6.806161,-5.506536,?,(Learn)
4.904029,-8.274637,5.250287,-5.806407,?,(Learn)
7.882747,-5.849281,5.240313,-7.234377,?,(Learn)
3.827114,-5.564318,6.076674,-7.519595,?,(Learn)
6.225602,-6.61644,4.573792,-4.747133,?,(Learn)
6.690276,-5.618297,3.940543,-6.528324,?,(Learn)
6.908914,-6.433774,2.385654,-6.944425,?,(Learn)
5.976339,-6.4516,7.851335,-7.193039,?,(Learn)
6.136724,-5.778454,8.28341,-5.889879,?,(Learn)
6.958462,-7.802594,8.327795,-5.033136,?,(Learn)
7.795503,-5.960099,4.295953,-6.93296,?,(Learn)
7.213271,-3.848156,6.068522,-7.313112,?,(Learn)
8.466211,-7.374013,5.801433,-5.740271,?,(Learn)
7.191703,-5.183679,6.456471,-4.201156,?,(Learn)
8.37846,-6.277394,2.603492,-6.590784,?,(Learn)
4.200307,-5.692098,3.126212,-6.043717,?,(Learn)
3.682247,-5.084889,4.587472,-6.392941,?,(Learn)
5.207165,-5.894436,4.723464,-4.111942,?,(Learn)
8.549549,-4.634214,8.977618,-4.464873,?,(Learn)
5.345582,-5.864768,7.170776,-3.382814,?,(Learn)
3.426561,-7.887567,8.309419,-5.30197,?,(Learn)
-5.824326,-8.025893,-6.860884,-5.728636,?,(Learn)
-6.945416,-5.151057,-4.642313,-12.70443,?,(Learn)
-5.293627,-2.690244,-4.150145,-1.432737,?,(Learn)
-5.429713,-5.125494,-4.992898,-5.111742,?,(Learn)
-7.087586,-7.060987,-6.280172,-8.50485,?,(Learn)
-5.86759,-4.84325,-6.949171,-8.424916,?,(Learn)
-4.188307,-5.201104,-6.941302,-6.99531,?,(Learn)
-5.492463,-2.378827,-6.708052,-1.680366,?,(Learn)
-7.661234,-4.5434,-6.615355,-3.838184,?,(Learn)
-6.162596,-6.172661,-5.313889,-5.386731,?,(Learn)
-6.353579,-6.073222,-6.261236,-5.20729,?,(Learn)
-5.585022,-11.295869,-6.123761,-4.425985,?,(Learn)
-5.955852,-7.250277,-7.675165,-4.100396,?,(Learn)
-8.306542,-7.277281,-7.208613,-7.174425,?,(Learn)
-3.598365,-6.323166,-6.600033,-7.38623,?,(Learn)
-5.295125,-8.55652,-5.674455,-4.217515,?,(Learn)
-5.50819,-5.674984,-7.347881,-7.516903,?,(Learn)
-5.66622,-2.797817,-8.205769,-8.77163,?,(Learn)
-5.22338,-2.81653,-5.519963,-6.23074,?,(Learn)
-7.84187,-3.927377,-5.376331,-6.711583,?,(Learn)
-5.992323,-9.099104,-7.00101,-3.564849,?,(Learn)
-6.081619,-5.200404,-5.514739,-7.973259,?,(Learn)
-6.724361,-7.24088,-5.381268,-5.7202,?,(Learn)
-4.254416,-4.702865,-6.826591,-3.494963,?,(Learn)
-3.303133,-4.745106,-4.233714,-5.40257,?,(Learn)
-6.113288,-5.797733,-7.562898,-3.023163,?,(Learn)
-7.614864,-8.211896,-5.183104,-8.967291,?,(Learn)
-8.945425,-6.1444,-7.372236,-8.491066,?,(Learn)
-3.764774,-11.952285,-7.683159,-6.644484,?,(Learn)
-6.327155,-6.172921,-4.432096,-4.353087,?,(Learn)
-5.111588,-6.313348,-6.253923,-5.503759,?,(Learn)
-5.969679,-9.672876,-5.677786,-3.940808,?,(Learn)
-5.024069,-5.201254,-5.816576,-8.975182,?,(Learn)
-8.429186,-9.70574,-5.282848,-3.619968,?,(Learn)
-4.864003,-7.441166,-6.040531,-7.373271,?,(Learn)
-4.588739,-5.565238,-5.691466,-5.6371,?,(Learn)
-6.270083,-3.299562,-7.208795,-5.522654,?,(Learn)
-4.797749,-3.059442,-5.124387,-7.394617,?,(Learn)
-5.517024,-1.45675,-7.062872,-8.050511,?,(Learn)
-6.111757,-4.79227,-4.489727,-10.324873,?,(Learn)
-5.243178,-6.557526,-6.163328,-5.546413,?,(Learn)
-4.457756,-3.17284,-5.377353,-4.029288,?,(Learn)
-7.110768,-7.013418,-6.02162,-5.165054,?,(Learn)
-4.045901,-4.053993,-6.908585,-6.032593,?,(Learn)
-5.945033,-11.072141,-6.391893,-4.244621,?,(Learn)
-6.622228,-6.931164,-4.969597,-3.907686,?,(Learn)
-4.557803,-3.484483,-6.660562,-5.568894,?,(Learn)
-5.63958,-9.744938,-5.966442,-9.127474,?,(Learn)
-5.613604,-6.625563,-3.550242,-7.748753,?,(Learn)
-6.191123,-1.5968,-4.683861,-5.279232,?,(Learn)
-0.870703,-0.152942,1.124737,2.001657,?,(Learn)
-1.107021,1.573257,0.021391,-0.924475,?,(Learn)
1.126154,0.992243,-0.587247,0.5948,?,(Learn)
2.539263,1.72707,1.363557,2.523671,?,(Learn)
-2.022637,0.935701,-1.290567,-0.752507,?,(Learn)
-0.426916,-0.134761,3.076032,2.431224,?,(Learn)
-2.029408,-2.374089,0.022863,-1.936191,?,(Learn)
-1.155077,0.578669,-1.666023,2.414769,?,(Learn)
0.253595,-0.056493,-1.209857,2.868582,?,(Learn)
-0.821132,0.402516,-1.28713,-1.190263,?,(Learn)
2.069127,1.897295,0.139969,-0.728564,?,(Learn)
-0.609562,-0.78414,1.097774,-1.035867,?,(Learn)
-0.760937,-1.336635,-0.563265,-0.538075,?,(Learn)
0.136225,0.850784,0.858149,-2.240126,?,(Learn)
0.718369,1.140052,0.468421,2.490983,?,(Learn)
-1.324273,0.385411,1.109819,1.094268,?,(Learn)
-1.742776,-0.985744,1.07931,-0.896387,?,(Learn)
-0.079105,-0.648666,-0.663033,-1.90606,?,(Learn)
-1.392039,1.32251,-0.473684,-1.531718,?,(Learn)
2.043307,0.414525,-0.452659,1.058639,?,(Learn)
0.393976,0.773482,1.114646,-0.194911,?,(Learn)
-1.459108,0.560498,-1.51097,1.262938,?,(Learn)
-2.214936,-1.719966,-0.489666,-0.979911,?,(Learn)
-1.620198,0.200276,-0.072741,0.949444,?,(Learn)
-0.734131,-0.496914,1.235188,0.052529,?,(Learn)
-1.158545,2.275049,-0.441193,0.242024,?,(Learn)
0.604981,1.964214,2.68817,-1.430901,?,(Learn)
2.731917,0.960894,0.450363,0.410178,?,(Learn)
-0.213364,-0.264077,1.77098,3.982942,?,(Learn)
0.010732,1.846225,1.904309,1.768222,?,(Learn)
-0.438853,-1.275998,0.448506,-1.645669,?,(Learn)
-0.663837,0.093582,-0.583476,-1.432346,?,(Learn)
1.163516,-0.84748,0.918085,-1.520848,?,(Learn)
0.928895,0.118835,1.312776,3.480961,?,(Learn)
-0.267361,0.250337,0.873707,0.071256,?,(Learn)
1.494873,-0.181531,-3.109194,0.71433,?,(Learn)
-0.680114,0.398621,1.490297,1.850971,?,(Learn)
0.9143,0.428343,-1.235896,-1.233448,?,(Learn)
4.007898,2.229572,-2.574488,0.018587,?,(Learn)
-1.052339,-1.236876,-0.753175,1.138736,?,(Learn)
0.243366,-1.683603,-0.347166,0.667179,?,(Learn)
2.19337,-1.341162,1.761995,-1.897101,?,(Learn)
-1.138619,0.123605,-0.098214,-0.034073,?,(Learn)
0.357976,0.436848,-1.382759,-2.425317,?,(Learn)
-1.30644,2.217947,1.396171,0.645699,?,(Learn)
-0.501279,2.455915,0.999389,-0.115819,?,(Learn)
0.781979,1.420879,-0.070601,0.849448,?,(Learn)
-2.53661,1.001406,-1.446325,-0.422072,?,(Learn)
0.261599,0.479059,-2.243814,-0.673345,?,(Learn)
-0.489892,0.282347,0.310185,0.024044,?,(Learn)
-4.840798,5.117552,-2.458894,5.701029,?,(Learn)
-5.195775,6.207984,-6.059512,4.324269,?,(Learn)
-5.864124,8.061702,-5.862612,3.905275,?,(Learn)
-8.401542,6.751402,-4.566879,6.882557,?,(Learn)
-10.690458,3.963868,-5.930223,8.631377,?,(Learn)
-8.835472,2.525107,-1.046683,5.128663,?,(Learn)
-3.070018,6.265891,-5.645132,7.001085,?,(Learn)
-7.700482,5.0028,-6.508689,6.146581,?,(Learn)
-5.568405,5.630942,-7.615612,4.162013,?,(Learn)
-7.174587,6.702648,-6.305689,5.841667,?,(Learn)
-6.289057,7.080807,-10.60605,5.485308,?,(Learn)
-5.781631,7.901122,-7.064834,8.940676,?,(Learn)
-5.913687,6.036723,-7.374961,7.886399,?,(Learn)
-7.826264,6.393444,-4.889672,6.199693,?,(Learn)
-5.993513,6.189824,-8.764736,5.561491,?,(Learn)
-8.844429,6.811591,-7.209428,2.802124,?,(Learn)
-6.329316,7.584156,-4.924823,7.756102,?,(Learn)
-4.745432,6.579274,-7.413062,5.223064,?,(Learn)
-8.036262,3.771492,-2.847646,7.34683,?,(Learn)
-6.08814,6.106813,-7.611444,5.901974,?,(Learn)
-1.915475,9.110851,-6.643973,7.367286,?,(Learn)
-5.641984,5.370162,-6.589883,5.845243,?,(Learn)
-4.82184,7.034228,-6.498069,4.552498,?,(Learn)
-6.920002,6.121794,-6.456145,4.394543,?,(Learn)
-3.948931,5.022739,-6.556389,6.155686,?,(Learn)
-4.93577,6.642016,-6.648917,6.998107,?,(Learn)
-4.346834,7.716009,-4.273678,7.786713,?,(Learn)
-3.6894,5.946048,-5.041924,6.970618,?,(Learn)
-4.365832,7.113495,-5.170772,7.312472,?,(Learn)
-6.194645,4.724205,-5.284321,6.240777,?,(Learn)
-3.628628,6.111048,-5.005267,7.523227,?,(Learn)
-3.792014,3.852673,-7.521644,6.134595,?,(Learn)
-10.524327,5.506671,-8.621562,6.481537,?,(Learn)
-5.130006,8.436323,-4.82757,4.196307,?,(Learn)
-5.762496,5.325732,-9.524156,6.518332,?,(Learn)
-5.317222,4.529547,-6.305811,5.943033,?,(Learn)
-5.242257,4.999039,-6.943955,6.619823,?,(Learn)
-8.239104,5.996677,-6.505361,4.799182,?,(Learn)
-3.371207,7.837998,-2.933135,7.522777,?,(Learn)
-4.41444,7.719396,-8.554463,6.16855,?,(Learn)
-4.886503,7.861373,-7.328928,3.810844,?,(Learn)
-9.240968,4.209445,-5.721573,7.426404,?,(Learn)
-1.528611,8.713321,-8.299244,5.864562,?,(Learn)
-3.592762,5.434255,-5.477468,7.021435,?,(Learn)
-4.399827,8.016311,-8.93388,4.336528,?,(Learn)
-0.726235,3.06856,-9.041456,4.081439,?,(Learn)
-8.263078,3.065583,-7.94065,7.466516,?,(Learn)
-3.92263,3.993361,-6.433743,8.152359,?,(Learn)
-4.894597,6.402834,-4.495234,8.782632,?,(Learn)
-5.158309,5.859455,-5.440483,7.614409,?,(Learn)
5.467851,7.143192,4.666658,2.81183,?,(Learn)
5.458474,5.93194,6.32971,6.793166,?,(Learn)
5.984418,6.900887,4.366619,7.689029,?,(Learn)
5.91022,4.708251,7.476242,4.187562,?,(Learn)
5.931016,6.119463,6.028833,4.66531,?,(Learn)
5.725902,5.15089,3.840921,10.917394,?,(Learn)
4.29302,7.669333,7.322125,6.253992,?,(Learn)
6.982576,6.919256,6.365339,4.557933,?,(Learn)
7.35267,6.68949,4.778559,4.767112,?,(Learn)
6.141413,7.240156,4.705081,5.892887,?,(Learn)
3.597965,8.190277,5.884949,8.0811,?,(Learn)
5.372563,6.568365,5.995079,7.752702,?,(Learn)
5.572205,4.853356,7.429625,5.548144,?,(Learn)
4.493994,7.738391,3.468621,6.82521,?,(Learn)
10.030478,2.512296,6.578356,5.744193,?,(Learn)
6.061436,6.696309,7.511655,6.488142,?,(Learn)
5.681376,5.20733,4.823325,4.900049,?,(Learn)
4.798447,7.76719,5.281914,5.785087,?,(Learn)
3.749562,10.051823,5.005001,7.341569,?,(Learn)
6.184709,5.422808,7.616177,5.833118,?,(Learn)
6.153436,5.049934,5.37534,7.517646,?,(Learn)
6.106676,3.383455,6.485337,7.119992,?,(Learn)
6.615527,3.094623,7.414763,4.761887,?,(Learn)
5.69675,3.788181,4.678333,10.013311,?,(Learn)
7.25006,5.550708,6.856077,5.156577,?,(Learn)
5.350258,9.34614,9.636453,2.997326,?,(Learn)
7.341463,5.391788,7.943782,9.190289,?,(Learn)
5.571074,4.427434,7.13735,4.357754,?,(Learn)
6.038389,9.346391,5.883193,7.170267,?,(Learn)
6.631604,7.98242,2.377666,8.619884,?,(Learn)
4.400022,6.903109,6.606767,3.378899,?,(Learn)
4.849279,9.116631,5.852594,6.214938,?,(Learn)
5.891898,4.653923,6.056473,4.784214,?,(Learn)
8.153947,0.812974,6.158615,4.333785,?,(Learn)
5.227142,7.443736,4.733594,7.707097,?,(Learn)
6.884244,9.590862,8.711089,3.383406,?,(Learn)
6.026069,2.67294,5.666342,6.779228,?,(Learn)
7.742337,4.249972,4.079824,3.203589,?,(Learn)
6.398855,8.262636,4.826269,7.216107,?,(Learn)
8.66764,7.098301,6.667253,4.517971,?,(Learn)
7.324664,2.849501,6.497798,3.437566,?,(Learn)
3.510906,9.603717,4.548247,7.121997,?,(Learn)
4.841164,3.301556,5.85349,6.523036,?,(Learn)
2.727826,5.933097,3.880693,8.347186,?,(Learn)
5.698732,5.022646,3.778738,11.644196,?,(Learn)
8.389571,7.821603,4.966554,5.172007,?,(Learn)
5.324455,8.381972,6.223955,3.920863,?,(Learn)
3.197844,11.005298,7.052794,5.233477,?,(Learn)
6.66396,2.217933,6.461045,6.290381,?,(Learn)
5.020072,10.764075,6.260319,6.020469,?,(Learn)
9.548057,-4.604198,5.644163,-4.883978,?,(Learn)
3.098948,-6.665002,4.72045,-6.75045,?,(Learn)
5.280754,-7.63408,6.551214,-7.359955,?,(Learn)
5.214184,-7.010035,4.501319,-5.570802,?,(Learn)
6.266114,-6.498446,7.40932,-7.235339,?,(Learn)
5.393035,-6.108852,9.272581,-5.927981,?,(Learn)
7.573969,-7.551992,6.288452,-6.513595,?,(Learn)
5.882567,-5.95165,2.488989,-7.68489,?,(Learn)
6.320347,-6.405775,7.403174,-7.111169,?,(Learn)
2.373723,-7.207676,2.509304,-7.925014,?,(Learn)
4.042747,-6.572782,4.31514,-7.031588,?,(Learn)
6.516422,-6.873353,7.966836,-6.863299,?,(Learn)
4.332953,-6.297755,6.661669,-4.198669,?,(Learn)
3.623698,-4.445392,6.632038,-4.601775,?,(Learn)
4.331969,-5.868233,8.012795,-4.726077,?,(Learn)
8.336289,-7.456235,3.905801,-7.340446,?,(Learn)
5.107693,-6.597792,3.546698,-5.206492,?,(Learn)
9.089664,-8.258469,10.202383,-5.045911,?,(Learn)
7.141824,-6.112921,9.154576,-6.770368,?,(Learn)
6.674547,-6.408677,5.378621,-6.100811,?,(Learn)
7.940824,-5.856566,8.82476,-5.854681,?,(Learn)
6.929272,-5.711761,4.870755,-7.452032,?,(Learn)
5.007603,-5.834536,3.808942,-7.436501,?,(Learn)
5.463524,-5.297694,8.882811,-6.867157,?,(Learn)
9.085938,-6.601306,6.931061,-5.786762,?,(Learn)
7.807671,-5.269155,9.496475,-5.954077,?,(Learn)
3.631408,-5.863392,6.920892,-7.06969,?,(Learn)
8.341984,-5.894,4.459392,-5.131948,?,(Learn)
7.186372,-5.673947,2.441743,-4.282559,?,(Learn)
4.343808,-5.217263,6.020738,-5.544446,?,(Learn)
4.645114,-6.352271,5.750285,-6.345377,?,(Learn)
7.587928,-5.356744,6.522902,-5.308846,?,(Learn)
4.022203,-7.161914,8.619865,-6.546073,?,(Learn)
5.127933,-8.012871,7.764619,-6.280154,?,(Learn)
1.662189,-6.143059,10.026628,-5.642745,?,(Learn)
4.271111,-6.859647,6.826832,-8.342748,?,(Learn)
6.013774,-4.923776,-0.16931,-6.178068,?,(Learn)
2.928102,-5.207115,3.703132,-5.760965,?,(Learn)
6.261562,-6.082366,8.175997,-5.351238,?,(Learn)
6.661463,-4.612848,6.190003,-6.355328,?,(Learn)
3.547505,-5.989276,4.917188,-7.217218,?,(Learn)
8.41062,-4.535066,9.04563,-7.096021,?,(Learn)
7.150803,-4.439109,5.460955,-6.562627,?,(Learn)
7.537813,-4.583646,8.767731,-4.095381,?,(Learn)
5.554947,-6.332526,5.462194,-7.179712,?,(Learn)
4.273224,-6.972264,4.992515,-6.028491,?,(Learn)
2.247103,-4.8954,7.088178,-5.966233,?,(Learn)
7.232132,-6.264319,11.447615,-5.477059,?,(Learn)
5.164972,-6.078691,4.121367,-6.081,?,(Learn)
8.126838,-8.026175,9.988769,-6.716205,?,(Learn)
-6.861823,-7.105626,-4.875298,-7.14797,?,(Learn)
-7.8512,-7.834521,-7.07331,-8.166705,?,(Learn)
-8.133528,-7.626404,-4.638869,-7.012988,?,(Learn)
-7.248411,-5.118225,-6.254857,-4.675372,?,(Learn)
-5.581614,-6.475589,-5.753507,-7.719261,?,(Learn)
-5.244374,-8.164954,-7.577719,-4.926703,?,(Learn)
-7.650313,-5.18577,-7.909029,-8.407979,?,(Learn)
-5.67177,-6.644149,-5.422476,-7.381938,?,(Learn)
-5.838613,-7.428384,-6.131518,-1.119689,?,(Learn)
-5.226409,-9.884708,-4.595289,-8.133418,?,(Learn)
-5.666402,-4.753411,-5.793216,-5.43522,?,(Learn)
-7.85172,-7.733984,-5.285392,-8.623566,?,(Learn)
-5.79625,-4.387007,-7.375682,-3.30065,?,(Learn)
-5.405273,-4.955003,-7.020141,-7.217692,?,(Learn)
-6.255016,-8.33447,-5.981234,-5.724435,?,(Learn)
-6.29331,-9.76641,-6.512628,-8.391663,?,(Learn)
-6.893622,-7.038418,-7.350318,-5.30579,?,(Learn)
-6.403116,-8.529696,-5.879584,-7.091303,?,(Learn)
-6.448992,-9.052715,-6.982622,-7.438023,?,(Learn)
-4.94551,-6.840596,-6.768104,-2.104875,?,(Learn)
-7.056341,-5.266627,-6.12708,-5.963552,?,(Learn)
-4.466441,-4.975542,-5.718889,-9.140488,?,(Learn)
-7.260075,-4.627697,-5.567735,-6.157238,?,(Learn)
-7.186902,-7.22728,-5.612655,-3.334153,?,(Learn)
-6.022767,-6.250504,-6.382223,-6.239294,?,(Learn)
-6.778555,-7.475461,-5.836776,-6.944629,?,(Learn)
-5.773962,-7.64935,-5.23787,-4.111525,?,(Learn)
-5.123873,-3.723505,-7.990256,-7.204302,?,(Learn)
-6.331345,-4.441728,-5.501294,-8.151027,?,(Learn)
-5.534396,-7.753909,-6.111875,-4.093315,?,(Learn)
-5.986721,-7.373426,-5.762127,-5.051819,?,(Learn)
-6.935889,-8.088173,-7.457041,-3.577099,?,(Learn)
-6.634099,-2.687498,-5.185165,-4.638428,?,(Learn)
-6.19432,-6.505523,-5.642561,-3.798507,?,(Learn)
-7.709627,-7.367243,-5.161297,-6.118421,?,(Learn)
-6.917814,-1.361905,-5.739102,-4.213578,?,(Learn)
-5.910805,-8.423483,-7.535803,-4.545979,?,(Learn)
-4.950413,-8.817131,-5.822038,-7.052278,?,(Learn)
-6.567065,-6.087391,-5.310457,-7.382771,?,(Learn)
-4.205237,-9.487171,-6.936337,-8.976746,?,(Learn)
-5.974799,-5.782119,-6.340565,-6.824138,?,(Learn)
-6.336547,-8.526366,-7.052027,-6.486592,?,(Learn)
-6.209458,-11.604902,-6.316782,-2.625894,?,(Learn)
-6.517101,-5.563559,-6.928811,-3.298184,?,(Learn)
-7.825064,-8.790589,-5.477233,-8.977145,?,(Learn)
-6.087729,-4.941428,-5.97866,-7.217473,?,(Learn)
-5.765144,-5.768064,-4.838528,-5.323532,?,(Learn)
-8.208081,-7.57728,-6.263105,-11.176586,?,(Learn)
-3.958464,-2.225882,-5.481067,-8.241396,?,(Learn)
-8.650987,-5.691442,-6.533473,-4.107709,?,(Learn)
0.074993,-0.255751,-2.257932,-0.02729,?,(Learn)
0.917304,-0.657088,1.720595,0.546038,?,(Learn)
0.256589,-1.448343,-1.840144,0.747216,?,(Learn)
0.108254,-1.46489,0.029249,-1.093568,?,(Learn)
0.079787,-1.36043,-2.360239,0.304722,?,(Learn)
-1.043809,0.20205,-0.138382,-3.128899,?,(Learn)
-0.500065,-0.7173,0.399295,1.288925,?,(Learn)
-1.493522,0.47313,-0.486874,-3.314526,?,(Learn)
-1.058764,-0.470847,0.260354,0.859891,?,(Learn)
1.814592,0.500604,-1.666753,-1.244138,?,(Learn)
0.882318,1.594824,-0.207308,1.181498,?,(Learn)
-2.677008,0.889937,1.178765,-0.290246,?,(Learn)
